Dam Name,Observation Date,Reservoir Water Level (RWL) (m),Water Level Deviation - Hr,Water Level Deviation - Amount,Normal High Water Level (NHWL) (m),Deviation from NHWL (m),Rule Curve Elevation (m),Deviation from Rule Curve (m),Gates,Meters,Inflow,Outflow
Angat,2024-05-21,180.40,24,-0.33,212.00,-31.60,184.50,-4.10,,,,
Ipo,2024-05-21,99.61,24,-0.02,101.10,-1.49,0.00,0.00,,,,
La Mesa,2024-05-21,75.16,24,0.00,80.15,-4.99,0.00,0.00,,,,
Ambuklao,2024-05-21,741.84,24,0.50,752.00,-10.16,745.00,-3.16,,,,
Binga,2024-05-21,566.24,24,-0.23,575.00,-8.76,565.00,1.24,,,,
San Roque,2024-05-21,227.04,24,0.03,280.00,-52.96,235.02,-7.98,,,,
Pantabangan,2024-05-21,174.23,24,0.10,221.00,-46.77,203.82,-29.59,,,,
Magat Dam,2024-05-21,177.21,24,0.75,193.00,-15.79,175.00,2.21,,,,
Caliraya,2024-05-21,286.81,24,-0.33,0.00,0.00,0.00,0.00,,,,
