Dam Name,Observation Date,Reservoir Water Level (RWL) (m),Water Level Deviation - Hr,Water Level Deviation - Amount,Normal High Water Level (NHWL) (m),Deviation from NHWL (m),Rule Curve Elevation (m),Deviation from Rule Curve (m),Gates,Meters,Inflow,Outflow
Angat,2024-09-21,195.26,24,0.08,210.00,-14.74,185.11,10.15,,,,
Ipo,2024-09-21,100.24,24,-0.56,101.10,-0.86,0.00,0.00,1,0.15,,32.50
La Mesa,2024-09-21,79.18,24,0.03,80.15,-0.97,0.00,0.00,,,,
Ambuklao,2024-09-21,751.78,24,0.43,752.00,-0.22,745.00,6.78,3,1.50,,168.00
Binga,2024-09-21,574.67,24,0.22,575.00,-0.33,565.00,9.67,3,1.50,,192.00
San Roque,2024-09-21,269.40,24,1.28,280.00,-10.60,263.93,5.47,,,,
Pantabangan,2024-09-21,199.45,24,0.70,216.00,-16.55,215.04,-15.59,,,,
Magat Dam,2024-09-21,186.43,24,-0.58,190.00,-3.57,184.95,1.48,1,2.00,,594.56
Caliraya,2024-09-21,286.64,24,-0.16,0.00,0.00,0.00,0.00,,,,
