Dam Name,Observation Date,Reservoir Water Level (RWL) (m),Water Level Deviation - Hr,Water Level Deviation - Amount,Normal High Water Level (NHWL) (m),Deviation from NHWL (m),Rule Curve Elevation (m),Deviation from Rule Curve (m),Gates,Meters,Inflow,Outflow
Angat,2024-08-28,183.99,24,-0.18,210.00,-26.01,183.16,0.83,,,,
Ipo,2024-08-28,100.90,24,0.51,101.10,-0.20,0.00,0.00,,,,
La Mesa,2024-08-28,80.20,24,0.41,80.15,0.05,0.00,0.00,,,,
Ambuklao,2024-08-28,749.54,24,0.18,752.00,-2.46,745.00,4.54,,,,
Binga,2024-08-28,571.30,24,-0.28,575.00,-3.70,565.00,6.30,,,,
San Roque,2024-08-28,252.18,24,0.06,280.00,-27.82,251.68,0.50,,,,
Pantabangan,2024-08-28,189.25,24,0.50,216.00,-26.75,212.16,-22.91,,,,
Magat Dam,2024-08-28,184.20,24,0.40,190.00,-5.80,182.13,2.07,,,,
Caliraya,2024-08-28,287.01,24,-0.21,0.00,0.00,0.00,0.00,,,,
